96613 97536
86 32 199
157 153 93
164 202 133
19 105 31
44 189 162
31 51 136
172 68 84
217 62 123
221 196 221
164 48 149
102 19 65
75 136 18
27 24 71
93 91 227
123 164 179
198 79 12
105 143 194
174 213 67
41 23 230
151 171 199
158 118 195
178 145 126
194 194 106
130 75 82
103 9 213
180 216 205
45 173 163
62 241 244
195 253 22
182 197 97
98 21 73
245 242 164
135 248 182
237 199 219
240 235 232
199 185 144
218 21 124
64 36 211
121 84 95
70 67 153
184 98 67
206 114 84
50 41 98
249 163 211
113 100 119
103 30 92
102 119 249
219 125 7
41 144 154
16 231 94
242 255 1
219 140 51
88 210 196
130 98 193
201 180 168
92 30 7
73 8 29
169 118 96
111 65 244
180 149 103
157 133 99
40 223 11
127 131 59
175 230 238
199 145 104
209 173 3
39 9 170
11 28 103
144 229 146
47 196 127
169 154 192
252 212 84
146 50 91
254 91 44
218 173 210
168 192 105
191 153 209
175 128 166
165 240 135
169 39 16
217 50 22
231 144 2
135 195 91
144 97 228
249 135 223
255 194 70
18 188 30
95 93 56
11 24 247
132 155 237
108 36 115
12 29 144
78 215 187
182 120 102
208 118 84
2 54 37
215 171 157
11 10 147
10 229 139
161 82 99
12 239 163
171 211 77
252 212 57
187 176 108
43 243 232
243 172 220
29 94 81
24 162 148
195 119 24
244 65 130
247 206 27
241 12 229
56 53 245
244 145 239
167 37 180
119 233 155
66 86 214
234 113 204
95 153 138
75 199 167
108 249 37
3 7 50
229 19 226
4 71 46
150 178 223
34 81 50
19 175 84
175 160 9
117 7 22
90 158 77
87 61 76
72 28 68
17 243 112
116 18 251
51 196 137
68 152 162
68 101 167
109 36 39
188 251 159
9 6 21
63 191 9
247 33 175
28 209 119
114 236 72
6 89 247
245 169 230
18 229 204
78 228 23
241 254 104
1 47 19
111 12 174
224 28 19
44 108 102
232 123 241
153 207 0
95 213 1
54 214 142
43 41 47
10 236 252
116 230 90
99 100 146
126 41 240
208 211 172
193 57 203
92 175 184
74 64 75
12 41 112
86 75 180
156 72 90
45 131 202
117 71 125
60 173 171
242 48 101
118 225 237
213 185 90
237 135 248
4 95 221
172 152 165
137 193 99
215 18 24
200 63 86
6 188 219
3 212 73
223 28 61
11 48 122
242 182 233
72 25 142
218 134 202
237 4 136
145 192 30
116 239 11
19 199 217
97 130 209
55 108 61
52 102 107
202 105 183
175 229 59
238 29 252
73 195 175
178 136 100
243 92 192
241 138 135
10 255 170
112 88 22
157 138 237
51 64 252
225 71 133
32 158 181
241 6 102
216 30 238
202 123 58
210 52 95
135 218 94
184 217 229
217 176 27
7 136 227
202 5 34
226 120 219
179 176 74
54 27 72
123 251 141
21 215 190
18 119 65
76 4 69
45 33 147
70 38 242
67 183 73
37 108 200
200 84 185
31 105 206
170 83 5
22 18 114
9 98 153
123 248 29
58 229 230
101 198 23
255 142 96
237 254 157
0 58 182
205 240 64
141 14 82
57 252 129
151 210 16
253 9 171
236 141 66
216 69 240
179 99 228
24 30 199
40 171 29
118 129 133
153 85 246
52 83 59
160 123 94
117 45 207
162 69 94
221 91 94
137 2 153
106 23 209
190 132 7
145 3 190
106 189 242
157 229 130
237 152 50
68 166 156
159 25 165
139 141 76
198 184 242
220 184 108
216 250 127
101 219 143
242 82 175
179 61 88
152 55 97
144 241 28
175 134 166
26 81 188
185 26 193
37 192 188
80 170 101
210 161 168
229 227 43
112 146 169
186 198 81
147 238 99
29 68 186
115 130 18
230 24 34
136 142 229
52 228 162
99 0 154
100 143 100
207 236 90
82 222 167
40 79 215
212 82 246
251 6 164
115 65 165
223 9 213
108 56 141
147 236 215
232 144 8
89 152 146
119 79 47
147 70 189
211 66 83
156 189 129
211 88 186
232 204 82
173 65 156
95 11 10
112 71 93
246 206 71
193 108 12
143 106 6
214 197 28
20 172 129
177 23 97
207 150 70
157 176 78
12 92 152
238 135 110
241 159 11
245 151 32
157 233 91
66 121 151
129 106 141
30 65 18
251 241 73
71 155 88
57 44 118
238 37 119
76 36 23
239 15 189
139 244 102
80 242 247
43 202 47
253 237 233
29 32 111
193 6 14
39 59 45
136 192 145
70 228 152
212 249 140
67 102 98
125 6 128
148 201 93
173 17 21
117 77 83
28 178 20
71 42 43
136 205 161
41 134 57
119 172 189
213 182 230
49 93 252
189 186 129
249 77 130
102 243 100
139 38 68
5 39 75
219 230 126
88 183 241
11 64 112
198 31 237
174 56 93
186 175 204
60 249 197
61 137 111
214 250 226
211 219 166
59 82 97
152 93 14
11 89 98
154 13 40
59 128 179
121 42 187
216 113 72
61 111 108
0 106 254
120 146 155
30 215 145
157 252 129
101 47 219
159 202 136
144 17 80
206 5 234
217 159 182
238 29 140
55 27 41
153 172 29
219 191 79
216 104 107
237 226 215
252 105 5
132 72 56
194 158 23
228 201 168
167 138 131
252 39 91
136 67 60
30 41 254
126 172 231
1 252 115
249 242 180
244 203 206
28 70 121
101 156 144
88 217 17
146 110 35
76 29 245
142 145 150
220 58 25
120 70 154
144 207 8
246 151 189
47 234 67
248 120 229
156 74 215
171 31 16
241 212 61
188 161 75
218 83 119
207 206 240
52 117 103
63 79 36
230 3 115
23 253 144
254 95 87
81 132 95
16 67 75
78 57 120
204 184 86
150 56 254
223 85 241
209 194 5
12 187 223
5 214 150
139 77 76
18 14 229
161 52 37
108 188 209
128 146 183
23 69 158
97 5 139
232 189 238
224 96 129
251 196 6
152 165 44
111 161 62
0 71 109
105 156 201
132 158 83
73 161 168
231 171 50
38 19 232
217 13 1
144 237 36
212 67 250
134 32 55
60 36 109
181 40 65
183 156 228
244 241 221
202 169 125
253 233 160
181 150 132
109 102 214
145 118 80
254 58 120
167 228 96
3 149 113
19 249 181
36 27 19
154 142 114
92 70 212
200 180 179
48 254 78
78 112 171
50 118 118
154 188 2
182 74 27
184 187 109
211 215 162
105 59 142
157 218 0
130 113 14
160 76 248
135 240 249
160 125 151
136 235 90
144 111 237
60 172 23
209 118 14
91 84 15
173 13 72
65 213 114
19 251 166
193 45 96
148 167 166
70 229 197
157 184 54
49 202 117
247 241 245
110 234 131
124 75 168
88 209 231
28 84 250
208 5 80
16 200 120
152 192 70
93 110 205
246 237 133
140 53 58
134 102 150
167 142 89
95 108 174
120 12 19
106 102 203
254 59 223
255 223 13
48 190 61
193 186 83
246 172 115
188 183 23
100 44 134
189 44 139
57 80 123
241 252 243
152 46 207
193 220 70
6 69 53
237 199 0
164 15 143
231 191 75
174 226 48
114 198 78
51 13 80
124 28 213
23 48 207
57 186 34
70 219 46
128 15 19
58 107 203
107 250 117
177 33 93
41 8 168
167 131 176
39 240 116
154 248 162
96 75 42
254 159 94
0 152 255
255 112 215
64 112 165
118 151 135
126 6 44
46 12 106
155 226 24
89 119 53
154 223 195
77 67 220
119 98 244
131 1 67
69 221 193
210 255 68
139 131 162
232 41 226
224 77 215
10 32 203
197 46 252
13 153 19
195 147 234
148 248 48
198 29 209
140 45 49
184 162 147
229 206 67
98 98 99
146 117 102
127 135 159
196 93 108
34 223 234
98 56 51
74 221 142
205 84 36
196 206 17
210 238 235
65 88 22
240 213 120
183 56 118
203 68 55
253 61 159
241 249 140
162 128 44
204 154 145
14 229 198
231 73 19
220 215 59
102 133 203
119 64 220
191 68 217
244 199 28
190 79 135
47 78 103
185 222 60
40 171 64
16 116 190
160 166 158
232 252 173
239 51 136
40 37 60
41 241 239
181 251 49
114 227 204
234 199 32
158 109 122
90 41 228
13 146 86
201 115 95
197 109 149
104 72 114
208 237 102
81 117 63
217 214 72
68 16 159
2 244 174
160 208 222
9 161 209
164 171 190
155 122 213
230 182 171
247 94 31
20 57 59
199 167 246
235 18 234
59 173 89
117 77 20
104 120 32
136 0 50
224 196 86
123 108 89
146 59 214
42 82 240
228 238 36
45 146 178
15 21 142
84 11 228
187 9 132
103 175 215
219 126 52
28 229 161
202 5 106
88 36 24
167 194 167
171 204 15
238 106 127
6 72 213
88 128 56
191 99 235
244 208 161
199 231 4
135 44 48
43 125 67
33 103 96
201 192 176
0 143 73
83 163 252
169 111 128
137 5 119
69 68 49
179 146 78
58 190 124
93 221 9
11 59 13
87 187 68
113 63 255
236 227 174
185 55 242
98 196 63
97 111 107
178 166 190
238 82 108
137 4 115
17 225 84
128 40 40
251 118 249
151 9 102
252 185 3
248 98 238
99 227 140
233 19 118
145 51 246
18 189 166
96 174 12
242 152 82
179 27 93
156 152 249
94 62 213
182 193 125
57 84 157
180 198 37
127 207 52
81 233 209
109 83 206
78 15 124
24 241 237
111 35 248
142 163 63
179 173 229
49 8 183
211 178 242
80 97 239
253 206 88
7 204 188
210 144 148
89 192 19
158 23 100
139 200 28
215 234 5
196 132 149
217 29 171
227 221 105
223 161 65
160 136 145
69 235 98
230 191 42
252 201 152
111 59 216
79 129 212
161 116 90
213 44 46
169 28 110
182 81 222
215 218 232
34 197 123
57 68 14
15 194 114
123 31 55
50 71 202
253 218 164
65 176 23
54 73 157
103 150 188
73 159 208
8 232 101
229 174 230
182 74 196
98 98 103
116 174 139
26 123 209
42 49 170
5 138 243
105 57 203
152 47 143
96 204 11
223 145 48
30 51 250
217 31 73
10 207 213
20 133 143
161 59 3
138 241 153
111 164 206
187 136 182
79 101 99
12 35 13
231 231 12
95 79 251
94 183 172
243 132 170
97 233 124
125 165 238
86 172 4
136 184 101
222 46 93
10 231 206
145 179 165
72 183 170
246 241 195
237 135 17
193 175 93
101 76 215
80 157 23
127 139 223
104 118 14
66 152 191
44 84 148
16 13 149
95 84 45
250 142 41
219 107 202
99 187 69
82 135 69
216 118 81
68 233 29
46 87 50
64 194 115
222 108 100
95 13 68
157 54 86
253 173 233
64 225 6
187 199 205
207 195 222
178 98 109
231 23 206
249 60 149
85 251 170
90 239 217
241 167 198
80 69 82
184 240 208
69 217 155
46 253 238
10 239 11
242 72 24
151 149 53
162 216 184
4 250 157
242 189 127
199 14 188
8 204 139
48 91 54
26 157 183
34 36 90
75 194 66
20 188 219
195 73 163
72 41 206
13 117 172
74 249 228
181 184 222
172 100 233
34 245 11
0 164 125
177 244 51
22 145 17
20 37 152
119 128 37
234 154 35
34 93 192
159 63 252
134 7 48
133 92 100
192 236 4
51 77 214
23 229 71
31 128 94
180 84 254
119 175 58
166 125 229
69 95 175
22 33 101
195 154 45
199 97 217
251 233 167
210 210 3
163 149 44
159 220 201
56 31 202
39 89 52
89 252 165
104 107 171
102 150 83
41 157 108
90 127 122
240 61 76
229 248 173
65 249 176
206 163 131
24 184 204
135 132 249
169 188 26
18 61 11
87 245 29
19 139 142
243 168 88
55 252 80
55 65 137
197 243 114
130 117 43
130 222 5
212 157 44
202 181 228
13 78 234
235 183 209
98 61 116
197 97 211
33 81 254
161 175 208
166 10 166
79 151 102
157 18 102
131 195 15
122 33 89
113 142 117
54 22 51
167 66 18
75 84 251
42 144 12
243 90 11
213 79 80
157 166 74
238 121 237
176 204 168
10 99 179
132 209 218
35 61 12
157 206 87
247 202 27
42 194 147
164 97 19
190 184 123
129 36 217
77 26 50
63 127 222
107 84 10
65 227 54
192 173 197
57 196 254
207 98 13
4 209 236
232 4 50
199 115 56
107 20 35
74 137 170
63 221 175
149 98 4
146 145 253
201 251 147
210 168 73
65 122 17
236 117 225
233 235 190
196 9 95
222 58 190
246 77 40
71 113 180
203 91 38
115 51 160
126 29 194
53 120 247
176 41 36
124 138 1
41 219 175
54 65 119
210 180 183
102 123 93
240 243 134
132 223 29
162 115 142
21 210 229
156 196 240
140 186 67
37 140 45
96 115 254
79 32 43
110 14 55
119 94 108
146 209 193
253 206 138
128 108 190
68 249 246
232 120 123
237 8 241
203 54 141
79 161 204
23 134 44
59 255 92
138 37 207
238 81 193
197 43 9
87 85 88
176 197 164
138 52 253
14 47 252
132 160 134
96 245 158
34 44 124
255 107 33
92 236 28
116 105 69
198 78 143
27 76 74
73 55 101
249 42 146
30 97 88
219 85 122
11 244 63
176 19 117
226 100 80
40 156 107
55 139 154
141 84 81
98 7 194
225 74 10
181 214 254
57 240 125
254 47 79
90 29 247
63 163 3
146 65 195
172 117 107
217 231 8
230 54 217
40 113 227
119 165 220
24 15 197
142 198 192
191 0 15
252 65 64
200 13 235
111 254 142
210 67 110
238 254 134
11 241 236
149 123 46
12 225 155
145 68 114
247 219 107
95 82 29
207 87 36
65 176 27
23 129 194
1 138 238
175 115 14
234 147 110
235 174 126
4 156 197
245 218 78
143 114 170
102 191 223
194 248 222
31 132 80
198 134 228
109 39 91
237 129 5
93 60 115
55 59 131
92 234 27
8 13 29
20 35 136
35 179 196
131 36 122
234 233 155
92 45 88
217 67 53
163 129 139
64 81 10
132 160 28
64 243 59
116 196 145
9 250 135
139 154 5
83 0 141
32 66 135
26 138 69
166 137 180
158 92 185
199 102 152
154 27 8
191 179 193
196 42 157
251 45 165
133 190 171
242 174 55
250 68 237
67 169 196
43 245 156
16 231 20
139 183 177
154 129 190
176 54 93
30 29 203
84 67 198
239 109 142
140 109 4
212 229 195
71 222 91
165 188 231
10 120 185
33 38 215
235 48 115
18 208 173
203 170 60
164 156 215
216 22 103
2 158 120
66 75 95
51 87 4
61 34 99
51 49 22
56 20 134
85 59 149
92 23 230
217 38 8
71 182 44
201 128 54
10 111 69
26 47 2
97 82 95
0 49 134
50 215 39
144 146 110
72 0 65
157 175 151
81 176 8
204 170 232
21 74 135
250 45 112
249 142 184
208 99 193
180 176 252
163 51 140
80 186 219
146 191 126
100 36 253
218 30 90
144 178 104
125 86 87
58 141 252
20 156 188
135 165 44
241 207 187
157 70 255
121 50 139
23 250 71
192 106 201
201 159 32
102 184 15
181 200 172
178 120 214
78 88 13
237 218 138
236 93 163
0 223 236
143 43 136
81 151 172
217 186 73
219 154 71
70 65 230
140 196 30
174 19 12
228 52 216
253 185 146
203 136 249
49 81 50
178 82 196
149 39 137
238 222 78
60 146 81
82 40 227
193 17 221
11 24 158
61 166 213
192 1 68
137 114 52
234 89 97
181 145 127
113 186 166
201 57 72
137 24 130
188 14 227
203 69 255
177 200 103
151 162 223
121 8 231
169 40 246
70 119 242
251 151 203
172 33 73
218 253 107
222 17 224
76 106 141
38 45 24
161 242 236
165 84 59
88 227 224
77 182 56
52 72 63
28 115 159
159 158 115
155 120 224
63 214 221
151 150 192
215 140 105
30 228 29
97 133 115
188 86 227
105 111 217
247 158 79
171 212 97
9 68 98
240 96 77
221 1 168
38 84 60
77 97 43
191 74 69
154 153 178
76 43 79
43 165 64
89 110 178
138 166 201
139 147 20
157 122 54
249 223 125
33 157 155
200 90 189
109 64 183
10 6 0
100 168 173
216 97 175
187 201 2
174 30 138
109 35 215
6 31 4
124 220 104
57 182 222
234 31 196
146 30 6
247 180 206
180 52 178
156 225 117
47 122 185
72 128 48
93 78 50
218 98 189
130 103 80
223 227 27
36 145 124
13 206 197
167 170 180
0 116 48
45 220 35
52 7 135
174 29 2
67 61 166
83 228 175
96 34 85
24 45 12
19 61 198
161 176 26
55 231 82
92 94 213
49 232 111
217 28 82
114 83 245
103 196 24
48 163 146
239 88 187
97 23 139
21 137 191
249 75 181
141 104 172
100 24 179
187 107 110
70 174 113
143 164 240
114 239 226
159 61 248
41 15 246
134 55 69
148 105 222
124 100 230
132 164 132
55 162 222
105 6 70
1 90 246
144 24 242
26 56 226
162 124 7
81 44 152
89 11 41
222 162 236
132 51 229
130 253 112
62 144 168
226 90 139
107 200 250
32 131 217
116 172 255
187 50 194
68 141 48
169 135 94
130 220 86
179 204 136
16 5 200
17 104 65
196 141 230
70 33 71
102 106 213
62 150 246
234 163 124
165 253 95
239 41 191
138 25 166
120 245 251
53 127 161
233 99 195
70 10 175
69 205 217
15 155 214
167 107 111
51 22 33
254 107 159
128 154 56
13 77 41
9 0 65
163 129 108
136 151 246
23 67 167
243 30 7
7 182 112
92 2 179
81 64 117
15 217 161
82 37 115
230 31 5
94 103 116
240 47 240
129 221 77
67 133 247
116 146 88
29 51 9
226 97 110
66 161 138
220 206 40
146 138 179
154 40 86
233 51 46
117 220 191
60 237 237
33 27 27
241 206 76
47 176 79
127 172 103
195 28 233
71 90 189
146 244 219
178 39 6
31 123 123
139 147 82
54 131 186
159 84 99
169 129 164
147 138 76
74 240 25
5 62 74
42 232 203
231 33 227
16 254 120
24 130 61
61 95 104
68 145 193
94 40 42
254 211 241
209 8 139
28 229 134
29 25 215
82 117 206
172 251 84
18 126 68
203 51 251
163 196 113
228 195 121
128 144 2
251 10 102
244 172 43
102 222 197
243 161 60
209 232 188
59 48 129
114 63 149
172 15 95
137 72 245
228 229 172
27 206 92
31 137 79
239 93 221
77 118 24
201 228 30
117 146 226
230 139 147
74 33 232
184 210 247
11 3 100
227 235 11
160 54 110
120 89 147
243 136 20
113 201 142
140 156 181
109 48 181
112 33 163
173 39 54
60 78 249
79 132 178
125 161 186
201 57 117
82 216 44
169 113 245
69 48 115
140 233 141
102 221 113
92 140 123
169 202 221
206 83 24
130 146 162
27 91 86
191 191 122
254 72 127
166 66 204
239 217 45
80 51 195
158 205 133
68 202 175
178 246 184
88 157 160
195 155 187
196 28 65
150 18 70
135 75 243
152 158 11
255 191 42
157 135 57
196 219 12
218 120 48
197 75 71
33 30 134
166 193 51
92 254 59
89 239 42
75 150 56
252 197 36
130 184 13
242 237 150
158 35 236
68 132 140
199 99 225
58 26 5
107 234 84
54 236 144
57 112 193
209 97 36
92 136 182
56 195 68
250 132 14
201 63 84
236 139 109
233 31 54
191 248 251
40 70 41
235 245 101
153 236 227
83 88 17
107 156 236
253 190 160
205 108 62
19 231 170
0 123 27
26 81 181
189 176 46
113 23 119
202 177 229
13 12 78
216 34 14
115 19 253
159 32 177
247 194 168
61 253 45
51 56 18
203 61 150
203 59 21
65 209 78
95 149 98
140 147 226
209 176 123
238 2 40
185 112 239
150 63 150
37 81 212
128 71 229
150 194 138
142 115 230
56 193 174
232 45 164
97 184 93
145 245 187
76 151 171
75 148 249
22 50 99
173 159 51
250 221 0
130 47 106
201 70 236
100 223 30
174 147 248
153 6 241
32 188 27
46 54 129
39 43 111
82 246 127
211 146 106
245 187 20
249 12 90
162 45 118
48 119 35
153 152 197
13 17 60
49 176 44
155 82 230
108 138 53
30 9 176
220 215 109
8 186 40
182 99 56
59 55 227
52 206 247
130 125 177
48 137 88
74 209 25
254 20 253
165 27 27
138 118 81
129 131 38
179 253 166
37 74 87
231 56 148
237 235 244
0 50 142
71 115 41
94 240 198
238 29 2
69 45 66
101 49 169
121 85 63
183 31 225
24 192 199
109 215 195
183 48 142
208 107 183
193 142 17
96 232 182
12 224 242
149 114 190
189 142 142
213 159 150
94 214 224
182 21 196
61 141 155
118 103 203
8 24 130
183 44 170
167 170 11
128 98 146
89 192 52
112 2 231
18 218 165
68 228 122
19 124 7
141 213 4
204 100 164
170 246 230
239 13 64
12 88 32
213 100 55
171 214 144
21 202 216
196 51 108
99 75 1
213 116 1
167 28 251
218 127 174
94 91 152
201 245 28
53 2 139
76 76 192
227 44 8
190 49 147
72 141 157
104 29 15
196 44 80
253 54 110
217 99 249
84 105 31
4 24 225
101 197 137
217 61 156
134 26 3
94 135 36
231 211 20
169 107 55
75 16 232
189 94 243
9 7 19
161 77 175
66 157 137
194 91 29
100 64 221
139 218 157
224 8 186
67 140 228
40 14 160
39 27 206
236 12 224
201 215 128
149 54 217
167 175 194
2 88 117
15 114 156
130 49 223
51 71 47
18 14 134
136 106 214
216 171 87
100 40 125
224 71 54
215 30 65
22 6 190
202 174 74
131 140 59
87 194 229
204 214 229
104 198 229
233 92 94
147 223 59
34 101 110
53 113 212
79 171 254
205 208 180
81 47 82
155 69 80
203 94 139
121 69 49
38 101 93
249 238 198
197 210 13
192 194 138
132 108 174
35 167 87
119 84 157
0 31 9
225 93 58
223 196 87
115 169 232
73 7 238
198 133 72
104 41 207
27 134 177
224 122 235
82 228 243
237 210 252
40 22 78
189 77 167
181 176 173
16 75 208
38 121 40
15 168 61
183 209 185
105 55 110
244 66 61
180 133 188
48 100 175
3 204 177
70 246 160
196 53 167
144 58 250
220 83 164
37 145 246
6 221 116
87 88 90
104 170 8
108 2 248
118 243 15
155 119 100
12 196 211
75 173 245
199 195 87
135 132 255
165 38 174
197 230 79
221 238 157
217 31 232
0 105 116
52 122 252
81 232 42
97 30 45
98 188 184
194 40 5
239 119 184
135 9 179
255 97 62
239 34 8
58 57 245
195 157 178
133 46 126
16 143 184
228 29 6
37 76 54
145 12 38
204 10 89
88 230 0
205 185 158
54 121 151
160 34 71
50 174 111
113 62 30
123 8 101
90 217 110
195 95 209
220 104 63
219 221 218
159 40 209
144 57 25
107 120 91
197 51 114
103 120 5
210 81 46
145 226 36
28 217 93
125 40 181
246 14 108
82 207 29
183 175 2
2 11 30
28 172 32
201 156 29
224 43 121
233 233 147
153 187 14
165 91 209
214 216 14
123 252 248
119 160 237
165 80 56
77 211 195
211 114 73
243 16 231
34 115 39
235 78 204
96 240 18
252 154 28
132 242 197
203 16 19
104 11 246
184 28 30
201 174 14
252 241 180
129 206 42
0 74 116
3 187 82
0 96 128
24 57 249
225 44 25
217 226 181
79 223 124
236 190 64
27 159 252
3 33 175
212 131 97
146 196 241
164 209 128
208 39 139
109 119 27
241 39 147
36 200 251
162 219 234
110 120 76
197 180 190
121 218 57
110 213 63
28 88 201
30 175 161
50 52 249
63 225 83
52 126 26
224 79 126
21 85 108
178 129 192
99 98 252
66 62 42
156 146 187
121 105 120
205 19 224
82 27 144
114 146 128
218 2 61
137 179 107
109 250 45
248 209 73
47 234 40
34 247 246
202 225 147
196 31 27
102 113 37
21 170 14
238 75 232
30 31 235
129 28 115
87 41 243
54 167 102
132 203 37
21 36 39
207 230 26
83 216 219
37 237 39
205 245 167
214 231 174
199 180 41
104 166 196
230 177 49
188 70 9
107 135 197
100 233 195
178 172 84
68 177 61
235 143 58
103 254 96
23 240 116
36 234 143
70 127 165
114 2 200
15 185 73
136 70 248
81 255 56
185 99 159
40 248 94
143 47 165
50 41 185
38 102 124
4 210 147
202 164 119
231 11 2
212 163 105
216 32 157
194 182 129
191 42 129
150 134 102
239 238 132
113 12 143
222 250 183
112 206 229
37 254 34
198 94 155
187 105 187
26 15 77
110 69 168
35 250 87
163 84 183
131 50 121
80 107 26
225 68 169
54 14 104
73 242 56
99 77 208
200 48 40
231 222 160
68 95 204
213 124 246
153 200 162
126 128 197
250 92 110
234 189 11
135 171 152
151 161 81
42 35 199
118 137 99
183 138 190
34 101 82
68 190 118
99 141 167
198 171 125
228 226 233
237 141 143
48 41 82
65 104 114
242 164 205
125 197 23
110 243 51
44 175 239
59 42 199
131 237 139
67 51 240
126 129 120
253 102 54
62 98 89
233 102 127
161 117 69
76 63 139
35 210 99
46 189 173
245 53 196
145 16 204
92 194 129
243 158 154
76 253 22
7 39 19
69 10 254
175 32 57
109 33 143
61 73 14
239 85 24
235 145 210
148 134 56
153 43 126
159 164 130
198 241 129
238 38 79
209 249 186
78 202 227
113 118 182
30 143 196
114 209 43
40 240 87
178 8 181
189 98 188
91 71 208
16 16 235
99 197 22
212 214 15
65 224 186
24 124 35
241 124 68
98 52 204
43 153 142
11 86 118
223 52 0
219 91 177
245 95 8
229 24 206
67 164 221
165 60 182
207 151 117
87 11 10
71 186 196
155 92 129
189 150 54
71 210 126
167 22 111
139 87 241
23 39 66
76 222 112
55 142 240
186 90 150
8 10 162
51 249 155
92 171 41
93 166 53
17 113 245
127 190 174
143 40 83
32 18 71
133 131 235
226 29 204
224 120 122
161 135 120
12 220 204
199 218 11
111 63 253
243 132 42
35 9 241
203 13 247
243 213 17
29 153 242
152 14 71
61 161 15
53 200 61
155 238 23
17 225 210
163 215 68
148 89 221
218 188 24
132 238 37
55 194 127
128 252 161
190 208 37
189 148 236
99 202 26
1 219 12
30 13 164
222 165 101
75 44 99
48 81 248
69 233 171
216 231 225
66 118 31
186 113 15
112 237 138
245 151 69
81 13 3
98 127 82
84 55 64
80 227 141
181 169 58
126 115 148
151 250 3
89 110 69
96 214 228
119 124 253
85 251 187
84 206 16
117 115 147
75 121 137
155 19 133
216 15 36
207 53 207
13 127 137
236 178 50
82 47 202
121 34 145
97 88 31
193 88 199
130 161 224
52 24 201
3 0 196
3 27 253
251 205 89
246 70 218
63 40 196
145 38 193
165 141 185
104 176 27
120 180 190
191 55 179
60 175 156
101 173 86
164 63 38
211 30 169
208 119 46
128 106 75
204 149 197
135 67 43
70 28 178
125 103 43
142 54 53
140 30 247
212 73 254
212 247 31
157 215 104
4 190 124
134 155 251
51 194 193
61 226 33
5 69 96
189 39 39
251 68 160
202 243 119
26 105 253
172 244 20
192 77 191
48 91 87
195 243 221
220 123 233
204 129 20
114 159 1
243 65 68
168 44 222
155 216 11
37 248 135
143 197 165
191 234 195
94 30 2
244 211 84
243 134 41
167 139 119
121 113 205
28 80 161
111 156 46
54 91 115
7 200 50
240 197 255
